1|john.doe@example.com|Apartment1|10/09/2024|Pending
2|jane.smith@example.com|Apartment2|15/09/2024|Confirmed
3|bob.johnson@example.com|Apartment3|20/09/2024|Rejected
4|lisa.williams@example.com|Apartment4|25/09/2024|Canceled
5|michael.brown@example.com|Apartment5|30/09/2024|Pending
6|david.james@example.com|Apartment6|05/10/2024|Confirmed
7|nancy.davis@example.com|Apartment7|10/10/2024|Rejected
8|emma.wilson@example.com|Apartment8|15/10/2024|Pending
9|oliver.martin@example.com|Apartment9|20/10/2024|Confirmed
10|sophia.clark@example.com|Apartment10|25/10/2024|Canceled
